layer,channel,ablation_delta,log_alpha
stage3.0.conv1,55,0.0032747257500886917,1.972428798675537
stage3.0.conv1,59,-0.007242047227919102,1.9618175029754639
stage3.0.conv1,70,-0.007832991890609264,1.9980928897857666
stage3.0.conv1,87,-0.0033946188632398844,1.9961731433868408
stage3.0.conv1,91,-0.008259035646915436,1.9870024919509888
stage3.0.conv1,102,-0.0019863520283252,1.980581283569336
stage3.0.conv1,109,0.0006288757431320846,2.0090982913970947
stage3.0.conv1,111,-0.0016770206857472658,2.0159647464752197
stage3.0.conv1,113,-0.0055624498054385185,2.030097007751465
stage3.0.conv1,118,-0.0017486908473074436,1.9729633331298828
stage3.0.conv1,127,-0.007445135619491339,1.9506261348724365
stage3.0.conv1,134,-0.004030998330563307,2.0085699558258057
stage3.0.conv1,136,-0.005464510526508093,2.001852035522461
stage3.0.conv1,137,0.00013939759810455143,2.010887622833252
stage3.0.conv1,138,0.0038933390751481056,1.9990383386611938
stage3.0.conv1,140,-0.007358052302151918,2.008424997329712
stage3.0.conv1,141,0.007056200411170721,1.9970288276672363
stage3.0.conv1,145,0.003095700405538082,2.000551462173462
stage3.0.conv1,151,-0.000899569655302912,2.0057132244110107
stage3.0.conv1,154,-0.00389585318043828,1.9747239351272583
stage3.0.conv1,169,-0.008656417950987816,2.008420467376709
stage3.0.conv1,170,-0.009512470103800297,2.00773024559021
stage3.0.conv1,172,-0.0031092623248696327,1.990190863609314
stage3.0.conv1,173,-0.00359481293708086,1.9936299324035645
stage3.0.conv1,174,-0.0035256692208349705,2.033595085144043
stage3.0.conv1,181,-0.009164096787571907,1.9786474704742432
stage3.0.conv1,185,-0.0014658207073807716,1.9974218606948853
stage3.0.conv1,189,0.00048486230662092566,1.997378945350647
stage3.0.conv1,195,-0.0019183330005034804,1.996467113494873
stage3.0.conv1,196,-0.009732960723340511,1.973573088645935
stage3.0.conv1,199,-0.0020012673921883106,1.983672022819519
stage3.0.conv1,200,-0.005456629674881697,1.9656668901443481
stage3.0.conv1,207,-0.003737351857125759,2.0022900104522705
stage3.0.conv1,209,-0.00363832782022655,1.9742331504821777
stage3.0.conv1,213,-0.004453336354345083,1.9883681535720825
stage3.0.conv1,214,-0.00769653357565403,1.9709663391113281
stage3.0.conv1,215,-0.010697036050260067,2.009833574295044
stage3.0.conv1,216,-0.0069782305508852005,1.975184679031372
stage3.0.conv1,225,-0.011447999626398087,1.9749395847320557
stage3.0.conv1,234,-0.002161857672035694,1.9508647918701172
stage3.0.conv1,235,-0.000966104562394321,2.006930112838745
stage3.0.conv1,239,-0.004032563883811235,1.9759091138839722
stage3.0.conv1,242,0.002204375807195902,1.9739540815353394
stage3.0.conv1,243,-8.71240408741869e-05,1.9934338331222534
stage3.0.conv1,244,-0.005405571777373552,1.9298135042190552
stage3.0.conv1,247,-0.005261075217276812,2.0020992755889893
